"","region","city","n","lat","long"
"374","MI","Monroe",1,41.9145037,-83.3968252
"375","MI","Muskegon",1,43.2341813,-86.2483921
"376","MI","Novi",1,42.48059,-83.4754913
"377","MI","Okemos",1,42.7221021,-84.4275259
"378","MI","Petoskey",1,45.373343,-84.95533
"379","MI","Portage",1,42.2011538,-85.5800022
"380","MI","Roseville",1,42.4972583,-82.9371409
"381","MI","Saginaw",1,43.4200387,-83.9490365
"382","MI","Taylor",2,42.240872,-83.2696509
"383","MI","Utica",1,42.6261446,-83.0335384
"384","MI","Walker",1,43.005597,-85.7741906
"385","MI","Warren",1,42.4932575,-83.0062746
"386","MI","Waterford",1,42.7022527,-83.402718
"387","MI","Westland",1,42.3238056,-83.4005321
"388","MI","Wyandotte",1,42.200409,-83.1506436
"389","MN","Blaine",1,45.1607987,-93.2349489
"390","MN","Bloomington",2,44.8322405,-93.3204872
"391","MN","Brainerd",1,46.3580221,-94.2008288
"392","MN","Duluth",1,46.7838287,-92.1052679
"393","MN","Eagan",1,44.818173,-93.1659179
"394","MN","Mankato",1,44.1658533,-94.0028013
"395","MN","Rochester",1,44.0234387,-92.4630182
"396","MN","Roseville",1,45.0060767,-93.1566107
"397","MN","Woodbury",1,44.919896,-92.9339449
"398","MS","Gulfport",1,30.3674198,-89.0928155
"399","MS","Hattiesburg",1,31.3271189,-89.2903392
"400","MS","Meridian",1,32.3643098,-88.703656
"401","MS","Pearl",1,32.2735792,-90.127881
"402","MS","Southaven",1,34.9873822,-90.0034862
"403","MS","Tupelo",1,34.2576067,-88.7033859
"404","MO","Arnold",1,38.4226711,-90.3758287
"405","MO","Belton",1,38.8108097,-94.5313502
"406","MO","Columbia",1,38.951883,-92.3337366
"407","MO","Ellisville",1,38.5946373,-90.584838
"408","MO","Independence",1,39.0924792,-94.4137923
"409","MO","Joplin",1,37.0841838,-94.5133385
"410","MO","Olivette",1,38.6653297,-90.3759499
"411","MO","Springfield",2,37.2081729,-93.2922715
"412","MO","Washington",1,38.5581072,-91.0120878
"413","MT","Billings",1,45.7874957,-108.49607
"414","MT","Bozeman",1,45.6794293,-111.044047
"415","MT","Helena",1,46.5927425,-112.036277
"416","MT","Kalispell",1,48.202158,-114.315321
"417","MT","Missoula",1,46.8701049,-113.995267
"418","NE","Lincoln",1,40.8088861,-96.7077751
"419","NE","Omaha",1,41.2587459,-95.9383758
"420","NE","Papillion",1,41.1544433,-96.0422378
"421","NV","Henderson",2,36.0319602,-114.9822716
"422","NV","Reno",1,39.5261788,-119.812658
"423","NV","Sparks",1,39.5404679,-119.7487235
"424","NH","Concord",1,43.207178,-71.537476
"425","NH","Hooksett",1,43.0939589,-71.462516
"426","NH","Keene",1,42.933597,-72.2784264
"427","NH","Manchester",1,42.9956397,-71.4547891
"428","NH","Milford",1,42.8355775,-71.6495345
"429","NH","Nashua",1,42.7656251,-71.4677032
"430","NH","Newington",1,43.100482,-70.834351
"431","NH","Salem",1,42.7884957,-71.2009035
"432","NH","Seabrook",1,42.8773076,-70.8706857
"433","NH","Somersworth",1,43.2625585,-70.8645872
"434","NH","Tilton",1,43.4421879,-71.5888039
"435","NJ","Bridgewater",2,40.5931225,-74.604954
"436","NJ","Clifton",2,40.8584328,-74.1637553
"437","NJ","Delran",1,40.0154905,-74.9550416
"438","NJ","Deptford",1,39.8271755,-75.1235892
"439","NJ","Eatontown",1,40.2962222,-74.0509725
"440","NJ","Evesham",1,39.851752,-74.8917412
"441","NJ","Hazlet",1,40.4292165,-74.1648999
"442","NJ","Howell",1,40.1413032,-74.2236618
"443","NJ","Kinnelon",1,41.0017644,-74.367096
"444","NJ","Livingston",1,40.7959335,-74.3148713
"445","NJ","Middletown",1,40.9159321,-74.51349
"446","NJ","Millville",1,39.4020593,-75.0393368
"447","NJ","Newton",1,41.0583121,-74.7531445
"448","NJ","Paramus",4,40.9452911,-74.0735899
"449","NJ","Phillipsburg",1,40.6915611,-75.1952543
"450","NJ","Rockaway",1,40.9012101,-74.5143232
"451","NJ","Sicklerville",1,39.7173375,-74.9693329
"452","NJ","Springfield",1,40.7109107,-74.3099398
"453","NJ","Succasunna",1,40.8684325,-74.6404382
"454","NJ","Trenton",1,40.2203074,-74.7659
"455","NJ","Watchung",1,40.6378801,-74.4509863
"456","NJ","Wayne",2,40.9491723,-74.2376802
"457","NM","Alamogordo",1,32.8998822,-105.9602081
"458","NM","Albuquerque",5,35.0841034,-106.650985
"459","NM","Clovis",1,34.405472,-103.2050709
"460","NM","Farmington",1,36.7291152,-108.205445
"461","NM","Roswell",1,33.3943282,-104.5229518
"462","NY","Albany",1,42.6511674,-73.754968
"463","NY","Amherst",1,42.9783924,-78.7997616
"464","NY","Amsterdam",1,42.9362232,-74.1905821
"465","NY","Auburn",1,42.9320202,-76.5672029
"466","NY","Batavia",1,42.9980144,-78.1875515
"467","NY","Bethpage",1,40.749517,-73.485536
"468","NY","Bohemia",1,40.7692772,-73.1150985
"469","NY","Brockport",1,43.213671,-77.93918
"470","NY","Bronx",1,40.8466508,-73.8785937
"471","NY","Brooklyn",3,40.6526006,-73.9497211
"472","NY","Buffalo",1,42.8867166,-78.8783922
"473","NY","Canandaigua",1,42.850682,-77.3191454
"474","NY","Centereach",1,40.8584316,-73.0995539
"475","NY","Cheektowaga",1,42.9033917,-78.7547536
"476","NY","Clay",1,43.186621,-76.2065431
"477","NY","Colonie",2,42.7178558,-73.8334554
"478","NY","Coram",1,40.8687097,-73.0014946
"479","NY","Dewitt",1,43.0386776,-76.0729775
"480","NY","Dunkirk",1,42.483224,-79.3345605
"481","NY","Elmhurst",1,40.7365804,-73.8783932
"482","NY","Glendale",1,40.7014917,-73.8868028
"483","NY","Greece",1,43.2581805,-77.6970101
"484","NY","Hartsdale",1,41.0189863,-73.7981884
"485","NY","Hicksville",1,40.7681926,-73.5238207
"486","NY","Horseheads",1,42.1669832,-76.8202973
"487","NY","Hudson",1,42.2528649,-73.790959
"488","NY","Islip",1,40.7300685,-73.2107266
"489","NY","Ithaca",1,42.4374175,-76.5483724
